SITE_ID,VISIT_NO,secchi_avg,chl,tn,tp,avg_temp,INDEX_LON_DD,INDEX_LAT_DD,INDEX_SITE_DEPTH,PERMANENT_IDENTIFIER,temp_bin,depth_bin,specific_lake_bin,log_tp_z,log_tn_z,log_eutro,eutro_bin,eutro_binf
NLA22_AZ-10009,1,1.55,4.68,899,24,18.1,-110.45229,31.42438,8,126241513,1,4,603,-0.4030073347924473,0.2792295323405249,-0.06188890122596122,3,3
NLA22_AZ-10026,1,1.25,12.2,785,50.6,26.1,-111.90755,33.51166,4.2,139049810,4,3,983,0.16715843586826243,0.13144581278003958,0.14930212432415102,3,3
NES22-10186,1,0.275,71.2,2600,303,20.2,-116.75031,33.2359,3.5,120025184,1,2,370,1.5352708874972307,1.436638755221755,1.4859548213594929,5,5
NLA22_AZ-10032,1,0.75,3.1,418,37.1,25.2,-114.46917,32.82125,3,152740406,3,2,1546,-0.07006197556510634,-0.5553838856641817,-0.312722930614644,2,2
NLA22_AZ-10008,1,2.55,5.18,354,15.4,18.3,-112.38544,34.51902,13,141291680,1,5,1043,-0.7421620707852107,-0.7365010697961639,-0.7393315702906873,2,2
NLA22_AZ-10050,1,0.175,134,3880,381,20.4,-111.34554,34.46201,1.25,141876063,1,1,1054,1.710369844302523,1.8729339234481248,1.791651883875324,5,5
NLA22_AZ-10006,1,5.15,3.56,380,12.5,17,-110.876594,34.31374,18,149143173,1,5,1384,-0.9016460482641723,-0.6592582504277202,-0.7804521493459462,2,2
NES22-10198,1,1.45,5.36,711,24.1,17,-110.07225,34.2724,6.8,149137486,1,4,1382,-0.39982894328541474,0.023537773320133598,-0.18814558498264056,3,3
NLA22_AZ-10098,1,1.55,11.4,1490,153,16,-109.08517,33.83055,3.1,139071356,1,2,988,1.0129588731376495,0.8298774590852495,0.9214181661114496,5,5
NES22-10195,1,0.125,7.1,639,212,17.7,-109.3653,34.36298,3,136871691,1,2,939,1.2622673449867723,-0.09282393795985151,0.5847217035134604,4,4
NLA22_NM-10015,1,3.05,1.64,199,17,11.3,-107.68479,36.68883,16.7,129357529,1,5,697,-0.6666041115494463,-1.3642494636736373,-1.015426787611542,1,1
NLA22_NJ-10023,1,1.55,6.69,466,32.4,23.2,-74.702418,40.903079,1.8,26057916,2,1,1744,-0.17360676727045704,-0.43691196680302735,-0.30525936703674217,3,3
