,SITE_ID,VISIT_NO,chl,tn,tp,avg_temp,INDEX_LON_DD,INDEX_LAT_DD,INDEX_SITE_DEPTH,PERMANENT_IDENTIFIER,temp_bin,depth_bin,specific_lake_bin,log_tp_z,log_tn_z,log_eutro,eutro_bin,eutro_binf,tn_tp,P_limitation,crit_ratio,est_tn_tp,index_site_depth,NEI
1,NLA22_AZ-10009,1,4.68,899,24,18.1,-110.45229,31.42438,8,126241513,1,4,603,-0.403007335,0.279229532,-0.061888901,3,3,37.45833333,1,19.4143248,47.38320768,12.4,-0.233722866
2,NLA22_AZ-10026,1,12.2,785,50.6,26.1,-111.90755,33.51166,4.2,139049810,4,3,983,0.167158436,0.131445813,0.149302124,3,3,15.51383399,0.532666667,15.66193894,16.46821101,4.033333333,0.117297985
3,NES22-10186,1,71.2,2600,303,20.2,-116.75031,33.2359,3.5,120025184,1,2,370,1.535270887,1.436638755,1.485954821,5,5,8.580858086,0.701666667,14.88866991,17.4994497,3.2,1.130074094
4,NLA22_AZ-10032,1,3.1,418,37.1,25.2,-114.46917,32.82125,3,152740406,3,2,1546,-0.070061976,-0.555383886,-0.312722931,2,2,11.26684636,0.449666667,13.71187026,13.84924443,2.25,-0.22698652
5,NLA22_AZ-10008,1,5.18,354,15.4,18.3,-112.38544,34.51902,13,141291680,1,5,1043,-0.742162071,-0.73650107,-0.73933157,2,2,22.98701299,0.543333333,19.80784817,21.2651289,13.95,-0.866683167
6,NLA22_AZ-10050,1,134,3880,381,20.4,-111.34554,34.46201,1.25,141876063,1,1,1054,1.710369844,1.872933923,1.791651884,5,5,10.18372703,0.498,11.74802388,12.72630971,1.25,1.791651884
7,NLA22_AZ-10006,1,3.56,380,12.5,17,-110.876594,34.31374,18,149143173,1,5,1384,-0.901646048,-0.65925825,-0.780452149,2,2,30.4,0.720333333,20.65946535,27.68884156,18,-0.780452149
8,NES22-10198,1,5.36,711,24.1,17,-110.07225,34.2724,6.8,149137486,1,4,1382,-0.399828943,0.023537773,-0.188145585,3,3,29.50207469,0.963666667,18.07307564,32.22808042,8.3,-0.378049819
9,NLA22_AZ-10098,1,11.4,1490,153,16,-109.08517,33.83055,3.1,139071356,1,2,988,1.012958873,0.829877459,0.921418166,5,5,9.738562092,0.061,14.72826693,9.90658426,3.05,1.058298386
10,NES22-10195,1,7.1,639,212,17.7,-109.3653,34.36298,3,136871691,1,2,939,1.262267345,-0.092823938,0.584721704,4,4,3.014150943,0,14.52114735,3.404805912,2.866666667,0.570916143
11,NLA22_NM-10015,1,1.64,199,17,11.3,-107.68479,36.68883,16.7,129357529,1,5,697,-0.666604112,-1.364249464,-1.015426788,1,1,11.70588235,0.064666667,20.18135298,14.27652222,15.6,-0.969899112
12,NLA22_NJ-10023,1,6.69,466,32.4,23.2,-74.702418,40.903079,1.8,26057916,2,1,1744,-0.173606767,-0.436911967,-0.305259367,3,3,14.38271605,0.667333333,12.96632825,16.45688459,1.8,-0.305259367
13,NLA22_NJ-10003,1,80,3670,371,23.2,-74.003783,40.22515,1.1,{7D5557BE-B788-452C-94D1-B16A2A457C88},2,1,64,1.690038804,1.812290534,1.751164669,5,5,9.892183288,0.366666667,11.32092147,10.69311025,1.1,1.508230064
14,NLA22_NM-10013,1,2.58,706,59,12.1,-104.65739,36.57773,2.7,139098349,1,2,991,0.284559789,0.01584645,0.15020312,3,3,11.96610169,0.378,15.91446726,15.19986404,4.35,-0.031817875
15,NLA22_NJ-10009,1,23.5,746,84.3,26.2,-74.924317,39.934989,2.1,25607340,4,1,1735,0.557332398,0.075908806,0.316620602,4,4,8.849347568,0.214666667,13.48135908,11.17643178,2.1,0.622689936
